last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,type,state,district,senate_class,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,fec_ids,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Gingrich,Newton,Leroy,,,,6/17/1943,M,rep,GA,6,,Republican,,,,,,,,,,G000225,441,N00008333,,,,404587,26821,,,14627,Newt Gingrich
Kim,Jay,,,,,3/27/1939,M,rep,CA,41,,Republican,,,,,,,,,,K000181,632,N00006953,,,,406343,26775,,,29322,Jay Kim
Neumann,Mark,W.,,,,2/27/1954,M,rep,WI,1,,Republican,,,,,,,,,,N000054,861,N00009160,,,29135,408142,,,,29583,Mark Neumann
Thompson,Fred,,,,,8/19/1942,M,sen,TN,,2,Republican,,,,,,,,,,T000457,1447,N00003136,S237,,,300158,,,,49503,Fred Thompson
Breaux,John,B.,,,,3/1/1944,M,sen,LA,,3,Democrat,http://breaux.senate.gov/,,,,,,,,,B000780,120,N00005385,S179,,,300012,,,,13056,John Breaux
Campbell,Ben,Nighthorse,,,,4/13/1933,M,sen,CO,,3,Republican,http://campbell.senate.gov/,,,,,,,,,C000077,168,N00006202,S225,,,300017,,,,15407,Ben Nighthorse Campbell
Daschle,Thomas,A.,,Tom,,12/9/1947,M,sen,SD,,3,Democrat,http://daschle.senate.gov/,,,,,,,,,D000064,267,N00004583,S185,,,300031,,,,14617,Tom Daschle
Edwards,John,Reid,,,,6/10/1953,M,sen,NC,,3,Democrat,http://edwards.senate.gov/,,,,,,,,,E000286,1573,N00002283,S267,,,300039,21107,,,49902,John Edwards
Fitzgerald,Peter,G.,,,,10/20/1960,M,sen,IL,,3,Republican,http://fitzgerald.senate.gov/,,,,,,,,,F000442,1571,N00004690,S268,,,300044,,,,49900,Peter Fitzgerald (politician)
Graham,Bob,,,,,11/9/1936,M,sen,FL,,3,Democrat,http://graham.senate.gov/,,,,,,,,,G000352,1342,N00002742,S199,,,300046,,,,15503,Bob Graham
Hill,Rick,,,,,12/30/1946,M,rep,MT,0,,Republican,,,,,,,,,,H000605,1489,N00004644,,,,400587,,,,29738,Rick Hill
Hollings,Ernest,F.,,Fritz,,1/1/1922,M,sen,SC,,3,Democrat,http://hollings.senate.gov/,,,,,,,,,H000725,1361,N00002423,S047,,,300053,,,,11204,Ernest Hollings
Kasich,John,R.,,,,5/13/1952,M,rep,OH,12,,Republican,,,,,,,,,,K000016,618,N00009778,,,1620,400590,,,,15030,John Kasich
McCollum,Bill,,,,,7/12/1944,M,rep,FL,8,,Republican,,,,,,,,,,M000350,761,N00002791,,,,400596,,,,14842,Bill McCollum
Nickles,Don,,,,,12/6/1948,M,sen,OK,,3,Republican,http://nickles.senate.gov/,,,,,,,,,N000102,1412,N00005617,S158,,,300079,,,,14908,Don Nickles
Miller,Zell,Bryan,,,,2/24/1932,M,sen,GA,,3,Democrat,http://miller.senate.gov/,,,,,,,,,M001141,1624,N00013436,S273,,,300074,,,,49904,Zell Miller
Allen,George,Felix,,,,3/8/1952,M,sen,VA,,1,Republican,http://allen.senate.gov,,,,,,,,,A000121,13,N00009957,S274,,,300004,22404,,,29148,George Allen (U.S. politician)
Barr,Bob,,,,,11/5/1948,M,rep,GA,7,,Republican,,,,,,,,,,B000169,56,N00002526,,,,400514,22028,,,29511,Bob Barr
Blagojevich,Rod,,,,,12/10/1956,M,rep,IL,5,,Democrat,,,,,,,,,,B000518,1463,N00004816,,,,400518,,,,29716,Rod Blagojevich
Burns,Conrad,,,,,1/25/1935,M,sen,MT,,1,Republican,http://burns.senate.gov,,,,,,,,,B001126,1298,N00004638,S211,,,300015,,,,15701,Conrad Burns
Chafee,Lincoln,D.,,,,3/26/1953,M,sen,RI,,1,Republican,http://chafee.senate.gov,,,,,,,,,C001040,1612,N00009954,S272,,,300020,,,,49905,Lincoln Chafee
Corzine,Jon,Stevens,,,,1/1/1947,M,sen,NJ,,1,Democrat,http://corzine.senate.gov,,,,,,,,,C001042,1630,N00009945,S279,,,300028,,,,40104,Jon Corzine
Dayton,Mark,,,,,1/26/1947,M,sen,MN,,1,Democrat,http://dayton.senate.gov,,,,,,,,,D000596,1629,N00013291,S280,,,300032,,,,40101,Mark Dayton
DeWine,Michael,,,Mike,,1/5/1947,M,sen,OH,,1,Republican,http://dewine.senate.gov,,,,,,,,,D000294,293,N00003709,S240,,,300033,,,,15020,Mike DeWine
Ehrlich,Robert,L.,Jr.,,,11/25/1957,M,rep,MD,2,,Republican,,,,,,,,,,E000093,340,N00001925,,,,400523,,,,29529,Bob Ehrlich
Frist,William,H.,,Bill,,2/22/1952,M,sen,TN,,1,Republican,http://frist.senate.gov,,,,,,,,,F000439,1336,N00003147,S241,,,300045,,,,49502,Bill Frist
Jeffords,James,M.,,Jim,,5/11/1934,M,sen,VT,,1,Independent,http://jeffords.senate.gov/,,,,,,,,,J000072,593,N00000534,S204,,,300057,,,,94240,Jim Jeffords
Moakley,John,Joseph,,,,4/27/1927,M,rep,MA,9,,Democrat,,,,,,,,,,M000834,820,N00000256,,,,400600,,,,14039,Joe Moakley
Santorum,Richard,J.,,Rick,,5/10/1958,M,sen,PA,,1,Republican,http://santorum.senate.gov/,,,,,,,,,S000059,1015,N00001380,S244,,,300085,27054,,,29141,Rick Santorum
