id,chamber,cid,calendar_year,report_type,liability_spouse_joint_dep,creditor,orgname,ulorg,realcode,source,type_of_liability,liability_loc,liability_date,liability_date_text,liability_term,liability_term2,liability_interest_rate,liability_amount,dupe
E150016940,s,N00027533,15,A,J,"Morgan Stanley Newport , RI",Morgan Stanley,,Y0000,,Line of Credit,,",", ,2010,,6.65% (on demand),4,
E150016941,s,N00027533,15,A, ,"Morgan Stanley Newport, RI","Morgan Stanley Newport, RI",,Y0000,,Other (Portfolio Loan),,",", ,2015,,3.2% (On demand),5,
E150016942,s,N00027533,15,A,J,"US Bank Owensboro, KY",US Bank,,Y0000,,Mortgage,,",", ,2010,,4.75% (20 Years),5,M
E150016943,s,N00027533,15,Y,J,"Morgan Stanley Newport , RI",Morgan Stanley,,Y0000,,Line of Credit,,",", ,2010,,6.65% (on demand),4,d
E150016944,s,N00027533,15,Y, ,"Morgan Stanley Newport, RI","Morgan Stanley Newport, RI",,Y0000,,Other (Portfolio Loan),,",", ,2015,,3.2% (On demand),5,d
E150016945,s,N00027533,15,Y,J,"US Bank Owensboro, KY",US Bank,,Y0000,,Mortgage,,",", ,2010,,4.75% (20 Years),5,d
E150016946,s,N00007724,15,A, ,"Wells Fargo Washington, DC",Wells Fargo,,Y0000,,Mortgage,,",", ,2011,,4.375% (30),5,M
I140016947,s,N00030245,14,A,J,"JP Morgan Chase & Co. Manhattan, New York","JP Morgan Chase & Co. Manhattan, New York",,Y0000,,Mortgage,,",", ,2012,,2.875% (30 Years),5,m
I140016948,s,N00030245,14,A,J,"JP Morgan Chase & Co. Manhattan, New York","JP Morgan Chase & Co. Manhattan, New York",,Y0000,,Home Equity Line of Credit,,",", ,1995,,4.88% (On Demand),4,m
I140016949,s,N00030245,14,A,J,"JP Morgan Chase & Co. Manhattan, New York","JP Morgan Chase & Co. Manhattan, New York",,Y0000,,Home Equity Line of Credit,,",", ,2012,,3.99% (On Demand),4,m
E150016950,s,N00030245,15,A,J,"JP Morgan Chase & Co. Manhattan, New York","JP Morgan Chase & Co. Manhattan, New York",,Y0000,,Mortgage,,",", ,2012,,2.875% (30 Years),5,M
E150016951,s,N00030245,15,A,J,"JP Morgan Chase & Co. Manhattan, New York","JP Morgan Chase & Co. Manhattan, New York",,Y0000,,Home Equity Line of Credit,,",", ,1995,,4.88% (On Demand),5,M
E150016952,s,N00030245,15,A,J,"JP Morgan Chase & Co. Manhattan, New York","JP Morgan Chase & Co. Manhattan, New York",,Y0000,,Home Equity Line of Credit,,",", ,2012,,3.99% (On Demand),4,M
E150016953,s,N00003328,15,A,S,"Revere Bank Laurel, MD","Revere Bank Laurel, MD",,Y0000,,Home Equity Line of Credit,,",", ,2012,,4.24% (20 years),3,M
E150016954,s,N00003328,15,A,S,"US Bank Washington, DC","US Bank Washington, DC",,Y0000,,Mortgage,,",", ,2012,,4% (30 years),6,M
E150016955,s,N00003328,15,A,S,"Nationstar Mortgage Dallas, TX","Nationstar Mortgage Dallas, TX",,Y0000,,Mortgage,,",", ,2006,,4.375% (30 Years),5,M
A160016956,s,N00026823,16,C,J,"Wells Fargo San Francisco, California","Wells Fargo San Francisco, California",,Y0000,,Mortgage,,",", ,2011,,3.375% (15 years),4,M
I140016957,s,N00027694,14,A, ,"Heartland Bank St. Louis, MO","Heartland Bank St Louis, MO",,Y0000,,Mortgage,,",", ,2013,,3.0% (15 Years),5,d
I140016958,s,N00027694,14,A,S,"Enterprise Bank St. Louis, MO","Enterprise Bank St Louis, MO",,Y0000,,Line of Credit,,",", ,2014,,4.265% (1 Year),3,d
A160016959,s,N00006424,16,Y,S,"American Express Los Angeles, CA","American Express Los Angeles, CA",,Y0000,,Revolving Charge,,",", ,2016,,0% (NA),4,
A160016960,s,N00006424,16,Y,S,"Meghan Marguerite McCain Irrevocable Trust Dated 11/03/2004 Phoenix, Arizona",Meghan Marguerite McCain Irrevocable Trust Dated 1,,Y0000,,Promissory Note,,",", ,2016,,1.22% (8 Years 11 Months),8,
A160016961,s,N00035492,16,Y,J,"Wells Fargo Cornelius, NC","Wells Fargo Cornelius, NC",,Y0000,,Mortgage,,",", ,2005,,3.5% (30 years),4,d
A160016962,s,N00035492,16,Y,J,"Wells Fargo Cornelius, North Carolina","Wells Fargo Cornelius, North Carolina",,Y0000,,Line of Credit,,",", ,2015,,3% (3 years),5,d
A160016963,s,N00001489,16,Y,J,"Cole Taylor Bank Ann Arbor, MI",Cole Taylor Bank,,Y0000,,Mortgage,,",", ,2011,,3.375% (30 years),5,M
A160016964,s,N00006561,16,Y,J,"RoundPoint Mortgage Company Charlotte, NC",Roundpoint Mortgage,,Y0000,,Mortgage,,",", ,2013,,3.375% (30 years),5,M
A160016965,s,N00006561,16,Y,J,"SunTrust Mortgage, Inc. Richmond, VA",Suntrust Mortgage,,Y0000,,Mortgage,,",", ,2013,,3.375% (30 years),5,M
E150016966,s,N00006561,15,A,J,"RoundPoint Mortgage Company Charlotte, NC",Roundpoint Mortgage,,Y0000,,Mortgage,,",", ,2013,,3.375% (30 years),5,M
E150016967,s,N00006561,15,A,J,"SunTrust Mortgage, Inc. Richmond, VA",Suntrust Mortgage,,Y0000,,Mortgage,,",", ,2013,,3.375% (30 years),5,M
A160016968,s,N00003280,16,Y,J,"Capitol One Plano, TX",Capitol One,,Y0000,,Mortgage,,",", ,2006,,3.625% (30 years),4,M
A160016969,s,N00003280,16,Y,J,"BNA Bank New Albany, Mississippi",BNA Bank,,Y0000,,Mortgage,,",", ,2014,,3.75% (30 years),5,M
A160016970,s,N00003280,16,Y,J,"Chase Louisville, KY",Chase Group,,Y0000,,Mortgage,,",", ,2013,,3.5% (10 years),2,M
Z150339296,H,N00031545,15,Y, ,BNY Mortgage,BNY Mortgage,,,,Mortgage on 2nd Residence,,",", ,Jul-15,,,F ,
Z150339308,H,N00031545,15,Y, ,American Express,American Express,,,,Credit Notes,,",", ,Dec-15,,,B ,
Z150339315,H,N00027626,15,Y, ,SunTrust Leasing,SunTrust Leasing,,,,Purchase of Embraer Phenom,,",", ,Sep-09,,,G ,
Z150339274,H,N00030676,15,Y,J,Ozark Bank,Ozark Bank,,,,Loan Secrued by Personal Residence,"Ozark, MO",",", ,Feb-05,,,F ,
Z150339299,H,N00031539,15,Y, ,JP Morgan Chase,JP Morgan Chase,,,,Mortgage,,",", ,Jun-13,,,G ,
Z150339278,H,N00035854,15,Y, ,Chase Bank,Chase Bank,,,,Credit Card,,",", ,Various,,,A ,
Z150339282,H,N00028463,15,Y, ,GMAC Mortgage,GMAC Mortgage,,,,Mortgage on CO Condo,,",", ,Oct-96,,,A ,
Z150339289,H,N00009668,15,t, ,USAA,USAA,,,,"Mortgage, MD",,",", ,14-Aug,,,E ,m
Z150339295,H,N00031545,15,Y, ,BNY Mortgage,BNY Mortgage,,,,Mortgage on Residence,,",", ,Jul-15,,,G ,
Z150339307,H,N00031545,15,Y, ,Citi Mastercard,Citi Mastercard,,,,Credit Notes,,",", ,Oct-15,,,B ,
Z150339309,H,N00027626,15,Y, ,Seaside Bank,Seaside Bank,,,,Mortgage on 996 LLC,,",", ,Jul-09,,,E ,
Z150339301,H,N00002198,15,t, ,Citi Cards,Citi Cards,,,,Credit Charges,,",", ,14-Dec,,,B ,
Z150339303,H,N00029127,15,Y, ,Wells Fargo VISA,Wells Fargo VISA,,,,Personal Credit Card,,",", ,Dec-15,,,A ,
Z150339312,H,N00027626,15,Y, ,Suntrust Bank,Suntrust Bank,,,,Line of Credit Various Projects,,",", ,Oct-06,,,F ,
Z150339324,H,N00027462,15,Y, ,Prudential,Prudential,,,,Loan on Life Insurance,,",", ,Nov-14,,,B ,
Z150339281,H,N00028463,15,Y, ,Suntrust Mortgage Inc,Suntrust Mortgage Inc,,,,Mortgage on DC Condo,,",", ,Feb-08,,,E ,m
Z150339283,H,N00009829,15,Y, ,Credit Union Mortgage Assn,Credit Union Mortgage Assn,,,,"Personal Residence in Washington, DC",,",", ,Nov-12,,,E ,m
Z150339297,H,N00031545,15,Y, ,Chase Mastercard,Chase Mastercard,,,,Credit Notes,,",", ,Feb-15,,,A ,
Z150339279,H,N00000743,15,Y, ,Credit Union Mortgage Assn,Credit Union Mortgage Assn,,,,Mortgage on Home,,",08/30/2010,",,,,B ,,
Z150339294,H,N00035380,15,Y, ,America's First Federal Credit Union,America's First Federal Credit Union,,,,Loan on boat,,",", ,,,,B ,
Z150339273,S,N00007364,15,Y,s,Northern Trust,Northern Trust,,,,,"Chicago, IL",",", ,2015,1 Year,1.875,L ,
Z150339287,H,N00031777,15,Y, ,Shellpoint Mortgage,Shellpoint Mortgage,,,,Mortgage on Primary Residence,,",", ,Apr-03,,,E ,m
Z150339293,S,N00028418,15,Y, ,TD Ameritrade,TD Ameritrade,,,,Margin Account Balance,,",", ,,,,G ,
Z150339320,H,N00027626,15,Y, ,Jamat Realty,Jamat Realty,,,,Mortgage on 995 LLC,,",", ,Dec-15,,,E ,
Z150339280,H,N00007999,15,Y, ,Wells Fargo,Wells Fargo,,,,Mortgage on personal residence,,",", ,Mar-03,,,C ,
Z150339316,H,N00027626,15,Y, ,Wachovia Bank,Wachovia Bank,,,,HEL - 530 Bowspirit,,",", ,Jan-09,,,H ,
Z150339319,H,N00027626,15,Y, ,BNY Mellon,BNY Mellon,,,,Line of Credit,,",", ,Feb-13,,,I ,
Z150339322,H,N00027462,15,Y,J,PNC Mortgage,PNC Mortgage,,,,Mortgage Personal Residence,,",", ,Nov-11,,,E ,
Z150339288,H,N00009668,15,t,J,Wells Fargo,Wells Fargo,,,,"Mortgage, VA",,",", ,12-Oct,,,F ,m
Z150339290,S,N00007364,15,Y,s,First Republic Bank,First Republic Bank,,,,,First Republic Bank,",", ,2015,On Demand,3.75,L ,
Z150339321,H,N00035007,15,Y, ,First National Bank,First National Bank,,,,Mortgage 9652 Music,,",", ,May-89,,,C ,
Z150339304,H,N00029127,15,Y, ,Merrill Lynch,Merrill Lynch,,,,Secured Line of Credit,,",", ,Oct-10,,,G ,
Z150339317,H,N00027626,15,Y, ,J&K Long,J&K Long,,,,Mortgage on Eseppa Rental House,,",", ,Jan-12,,,G ,
Z150339318,H,N00027626,15,Y, ,SunTrust Mortgage,SunTrust Mortgage,,,,Co-borrower on personal residence of adu,,",", ,Feb-13,,,G ,
Z150339302,H,N00029127,15,Y, ,Wells Fargo VISA,Wells Fargo VISA,,,,Personal Credit Card,,",", ,Dec-15,,,B ,
Z130410335,S,N00024790,13,A,S,Citizen's Bank,Citizens Bank,,F1100,Hvr08,Mortgage,"Manchester, NH",",", ,2008,10 yrs,4.50%,6,
Z130410336,S,N00024790,13,A,S,Citizen's Bank,Citizens Bank,,F1100,Hvr08,Mortgage,"Manchester, NH",",", ,2008,10 yrs,4.50%,6,
A160016971,s,N00003280,16,Y,J,"Renasant Bank Tupelo, MS",Renasant Bank,,Y0000,,Home Equity Line of Credit,,",", ,2007,,3.5% (10 years),3,M
A160016972,s,N00003280,16,Y,J,"Quicken Loans Carol Stream, IL",Quicken Loans,,Y0000,,Mortgage,,",", ,2014,,4.625% (29 years),4,M
A160016973,s,N00007724,16,Y, ,"Wells Fargo Washington, DC",Wells Fargo,,Y0000,,Mortgage,,",", ,2011,,4.375% (30),5,M
A160016974,s,N00007724,16,Y,S,"Fred Bass New York, New York","Fred Bass New York, New York",,Y0000,,Promissory Note,,",", ,2016,,.74% (on demand),7,
A160016975,s,N00030670,16,Y,J,"Springs Valley Bank and Trust Jasper, IN","Springs Valley Bank & Trust Jasper, IN",,Y0000,,Mortgage,,",", ,2016,,6% (30 years),5,m
A160016976,s,N00030670,16,Y,J,"Springs Valley Bank and Trust Company Jasper, IN","Springs Valley Bank & Trust Company Jasper, IN",,Y0000,,Home Equity Line of Credit,,",", ,2016,,6% (60 months),4,m
A160016977,s,N00030670,16,Y,J,"USAA Washington, DC","USAA Washington, DC",,Y0000,,Revolving Charge,,",", ,2016,,3% (NA),2,
A160016978,s,N00030670,16,Y,J,"Spring Valley Bank & Trust Jasper, Indiana","Spring Valley Bank & Trust Jasper, Indiana",,Y0000,,Mortgage,,",", ,2008,,3.75% (30),6,m
A160016979,s,N00006424,16,Y,S,"James Hensley McCain Irrevocable Trust Dated 08/24/2009 Phoenix, Arizona",James Hensley McCain Irrevocable Trust Dated 08/24,,Y0000,,Promissory Note,,",", ,2016,,1.22% (7 Years 7 Months),8,
A160016980,s,N00035492,16,A,J,"Aquesta Bank Cornelius, NC","Aquesta Bank Cornelius, NC",,Y0000,,Other (Commercial loan - Rental Property),,",", ,2012,,5.125% (5 years),2,
A160016981,s,N00035492,16,A,J,"Wells Fargo Cornelius, NC","Wells Fargo Cornelius, NC",,Y0000,,Home Equity Line of Credit,,",", ,2005,,2.75% (30 years),5,
A160016982,s,N00035492,16,A,J,"Wells Fargo Cornelius, NC","Wells Fargo Cornelius, NC",,Y0000,,Mortgage,,",", ,2005,,3.00% (30 years),4,d
A160016983,s,N00035492,16,A,J,"Wells Fargo Cornelius, North Carolina","Wells Fargo Cornelius, North Carolina",,Y0000,,Line of Credit,,",", ,2015,,3% (3 years),5,d
I140016984,s,N00027694,14,A, ,"Heartland Bank St. Louis, MO","Heartland Bank St Louis, MO",,Y0000,,Mortgage,,",", ,2013,,3.0% (15 Years),5,d
I140016985,s,N00027694,14,A,S,"Enterprise Bank St. Louis, MO","Enterprise Bank St Louis, MO",,Y0000,,Line of Credit,,",", ,2014,,4.265% (1 Year),3,d
A160016986,s,N00000699,16,Y, ,"Bayonne Community Bank Bayonne, NJ",Bayonne Community Bank,,Y0000,,Mortgage,,",", ,2014,,4.5% (15 years),3,
A160016987,s,N00029303,16,Y,J,"Wells Fargo Minneapolis , MN","Wells Fargo Minneapolis , MN",,Y0000,,Mortgage,,",", ,2014,,3.75% (30),6,M
A160016988,s,N00029303,16,Y,J,"Wells Fargo Minneapolis , MN","Wells Fargo Minneapolis , MN",,Y0000,,Mortgage,,",", ,2014,,3.5% (15),4,M
A160016989,s,N00005282,16,Y,J,"U.S. Bank Home Mortgage Owensboro, KY",US Bank Home Mortgage,,Y0000,,Mortgage,,",", ,2012,,2.875% (10 years),3,M
A160016990,s,N00026050,16,Y,J,"Wells Fargo Anchorage, AK",Wells Fargo,,Y0000,,Mortgage,,",", ,2011,,3.75% (15 years),3,M
A160016991,s,N00007876,16,Y,J,"CHASE Seattle, WA",Chase Group,,Y0000,,Mortgage,,",", ,2013,,3.0% (10),3,M
A160016992,s,N00007876,16,Y,J,"CHASE Seattle, WA",Chase Group,,Y0000,,Home Equity Line of Credit,,",", ,2005,,WSJ Prime%(--),2,M
A160016993,s,N00009926,16,Y, ,"SunTrust Bank Orlando, FL",SunTrust Bank,,Y0000,,Mortgage,,",", ,2010,,8.75-3.75% (30 years),5,d
A160016994,s,N00009926,16,Y,J,"SunTrust Bank Orlando, FL",SunTrust Bank,,Y0000,,Mortgage,,",", ,2011,,8.0-3.0% (30 years),6,d
A160016995,s,N00009926,16,Y,J,"Regions Bank ORLANDO, Florida",Regions Bank,,Y0000,,Home Equity Line of Credit,,",", ,2015,,prime+.5%% (20 years),3,d
A160016996,s,N00009926,16,A, ,"SunTrust Bank Orlando, FL",SunTrust Bank,,Y0000,,Mortgage,,",", ,2010,,8.75-3.75% (30 years),5,M
A160016997,s,N00009926,16,A,J,"SunTrust Bank Orlando, FL",SunTrust Bank,,Y0000,,Mortgage,,",", ,2011,,8.0-3.0% (30 years),6,M
A160016998,s,N00009926,16,A,J,"Regions Bank Orlando, FL",Regions Bank,,Y0000,,Home Equity Line of Credit,,",", ,2015,,prime+.5%% (20 years),3,M
A160016999,s,N00029277,16,Y,J,"BB&T Charlotte, NC","BB&T Charlotte, NC",,Y0000,,Mortgage,,",", ,2013,,3.7% (30 years),4,M
A160017000,s,N00000362,16,Y,J,"Navigant Credit Union Smithfield, RI",Navigant Credit Union,,Y0000,,Mortgage,,",", ,2013,,2.75% (15 years),4,M
A160017001,s,N00000362,16,Y,J,"U.S. Bank Home Mortgage Eagen, MN",US Bank Home Mortgage,,Y0000,,Mortgage,,",", ,2013,,3.625% (30 years),5,M
A160017002,s,N00005285,16,Y,J,"Wells Fargo Newark, NJ",Wells Fargo,,Y0000,,Mortgage,,",", ,2003,,3.87% (30 years),4,M
E150017003,s,N00005285,15,A,J,"Wells Fargo Newark, NJ",Wells Fargo,,Y0000,,Mortgage,,",", ,2003,,3.87% (30 years),4,M
A160017004,s,N00035187,16,Y, ,"Farm Credit Servies Pierre, SD","Farm Credit Servies Pierre, SD",,Y0000,,Other (Mortgage on farm),,",", ,2016,,5% (10 years),8,m
A160017005,s,N00030612,16,Y, ,"Professional Bank Coral Gables, FL",Professional Bank,,Y0000,,Mortgage,,",", ,2015,,4.5% (30 years),6,m
A160017006,s,N00000528,16,Y,J,"Quicken Loans Detroit, MI",Quicken Loans,,Y0000,,Mortgage,,",", ,2013,,3.25% (30),5,M
A160017007,s,N00000528,16,Y,J,"Quicken Loans Detroit, MI",Quicken Loans,,Y0000,,Mortgage,,",", ,2013,,3.25% (30),4,M
A160017008,s,N00001093,16,Y,J,"Citibank New York, NY",Citibank,,Y0000,,Mortgage,,",", ,2012,,3.375% (10 years),3,M
A160017009,s,N00031782,16,Y, ,"SOUTH STATE BANK CHARLESTON, SC",South State Bank,,Y0000,,Mortgage,,",", ,2013,,4.25% (20 YEARS),3,m
A160017010,s,N00031782,16,Y, ,"SOUTH STATE BANK CHARLESTON, SC",South State Bank,,Y0000,,Mortgage,,",", ,2012,,4.625% (12 YEARS),6,m
A160017011,s,N00031782,16,Y, ,"WELLS FARGO BANK, NA MINNEAPOLIS, MN",Wells Fargo Bank,,Y0000,,Mortgage,,",", ,2013,,4.75% (30 YEARS),5,m
A160017012,s,N00024790,16,Y,J,"National Capital Bank Washington, DC",National Capital Bank,,Y0000,,Mortgage,,",", ,2012,,4.19% (20 years),5,M
A160017013,s,N00024790,16,Y,S,"Lucy J. Karl Trust of 1994 Concord, NH",Lucy J Karl Trust of 1994,,Y0000,,Mortgage,,",", ,2012,,4.5% (10 years),2,M
