last,first,state,congress,icpsr,majority,afam,latino,votepct,chair,subchr,seniority,state_leg,state_leg_prof,maj_leader,min_leader,votepct_sq,les,south_dem,minwomen,meddist,majwomen,house_service,house_les,amles,power,up_for_reelection,freshman,retiree,altamles,sensq,thomas_name,st_name,cd,house,senate,fullamles
Packwood,Bob,OR,93,12107,0,0,0,50,0,0,3,1,0.233,0,0,2500,0.20516916,0,0,0.255,0,0,0,,1,1,0,0,,9,,,,0,1,
,,,93,2329,1,0,0,61,0,1,8,0,0,0,0,3721,3.4353564,0,0,0.32600001,0,,,,0,,0,,,64,"Daniels, Dominick",NJ,14,1,0,
,,,93,14065,0,0,0,54,0,0,1,1,0.28099999,0,0,2916,1.8653129,0,0,0.39499998,0,,,,0,,1,,,1,"Young, Edward",SC,6,1,0,
,,,93,11037,1,0,0,76,0,0,4,1,0.085000001,0,0,5776,0.38931015,1,0,0.059,0,,,,0,,0,,,16,"Nichols, Bill",AL,3,1,0,
,,,93,12017,0,0,0,72,0,0,3,1,0.40700001,0,0,5184,2.8667269,0,0,0.27000001,0,,,,0,,0,,,9,"Hastings, James",NY,39,1,0,
,,,93,13020,0,0,0,73,0,0,2,0,0,0,0,5329,1.5161127,0,0,0.31399998,0,,,,0,,0,,,4,"Kemp, Jack",NY,38,1,0,
Clark,Dick,IA,93,14102,1,0,0,55,0,1,1,0,0,0,0,3025,0.52608365,0,0,0.412,0,0,0,,0,0,1,0,,1,,,,0,1,
Byrd,Robert,WV,93,1366,1,0,0,78,0,1,8,1,0.15000001,1,0,6084,0.82279545,0,0,0.13399999,0,0,0,,1,0,0,0,,64,,,,0,1,
,,,93,10521,0,0,0,58,0,0,7,,,0,0,3364,0.99324244,0,0,0.616,0,,,,0,,0,,,49,"Goodling, William",PA,19,1,0,
Pell,Claiborne,RI,93,10818,1,0,0,54,0,1,7,0,0,0,0,2916,0.68586457,0,0,0.207,0,0,0,,1,0,0,0,,49,,,,0,1,
,,,93,14060,0,0,0,54,0,0,1,0,0,0,0,2916,0.025842045,0,0,0.38599998,0,,,,0,,1,,,1,"Treen, David",LA,3,1,0,
Allen,James,AL,93,12100,1,0,0,70,0,1,3,1,0.085000001,0,0,4900,0.21411879,1,0,0.193,0,0,0,,0,1,0,0,,9,,,,0,1,
,,,93,10723,1,0,0,66,0,0,5,1,0.28400001,0,0,4356,0.23550667,0,0,0.26800001,0,,,,1,,0,,,25,"Evans, Frank",CO,3,1,0,
,,,93,13047,0,0,0,76,0,0,2,1,0.22400001,0,0,5776,0.4756752,0,0,0.33699998,0,,,,1,,0,,,4,"Young, C.W.",FL,6,1,0,
,,,93,11025,0,0,0,55,0,0,4,0,0,0,0,3025,0.088896632,0,0,0.322,0,,,,0,,0,,,16,"Kuykendall, Dan",TN,8,1,0,
,,,93,13026,1,0,0,52,0,1,2,1,0.212,0,0,2704,2.5523741,0,0,0.28300002,0,,,,0,,0,,,4,"McCormack, Mike",WA,4,1,0,
,,,93,226,0,0,0,57,0,0,20,,,0,1,3249,0.015505226,0,0,0.34299999,0,,,,0,,0,,,400,"Arends, Leslie",IL,15,1,0,
,,,93,11001,0,0,0,64,0,0,4,0,0,0,0,4096,0.11473867,0,0,0.018000001,0,,,,0,,0,,,16,"Biester, Edward",PA,8,1,0,
,,,93,4276,1,0,0,61,0,1,8,0,0,0,0,3721,0.24394889,0,0,0.19999999,0,,,,0,,0,,,64,"Hechler, Ken",WV,4,1,0,
,,,93,10738,1,0,0,72,0,1,5,0,0,0,0,5184,0.85543776,0,0,0.352,0,,,,0,,0,,,25,"Hicks, Floyd",WA,6,1,0,
,,,93,10579,0,0,0,62,0,0,6,0,0,0,0,3844,0.17882694,0,0,0.20400001,0,,,,0,,0,,,36,"Clausen, Don",CA,1,1,0,
,,,93,10737,1,0,0,56,0,1,5,0,0,0,0,3136,0.89748907,0,0,0.42200002,0,,,,0,,0,,,25,"Helstoski, Henry",NJ,9,1,0,
,,,93,10633,1,0,0,74,0,0,6,0,0,0,0,5476,0.19519308,0,0,0.35000002,0,,,,0,,0,,,36,"Van Deerlin, Lionel",CA,41,1,0,
Mathias,Charles,MD,93,10535,0,0,0,48,0,0,3,1,0.252,0,0,2304,0.58986646,0,0,0.043000001,0,0,0,,1,1,0,0,,9,,,,0,1,
,,,93,3171,1,0,0,57,0,1,16,1,0.191,0,0,3249,1.3271456,1,0,0.168,0,,,,0,,0,,,256,"Fisher, O.",TX,21,1,0,
,,,93,13046,0,0,0,63,0,0,2,1,0.52600002,0,0,3969,0.24291521,0,0,0.29899999,0,,,,1,,0,,,4,"Veysey, Victor",CA,43,1,0,
,,,93,3867,0,0,0,65,0,0,11,1,0.52600002,0,0,4225,0.65942609,0,0,0.27599999,0,,,,0,,0,,,121,"Gubser, Charles",CA,10,1,0,
,,,93,10631,0,0,0,54,0,0,6,0,0,0,0,2916,0.6608845,0,0,0.278,0,,,,1,,0,,,36,"Talcott, Burt",CA,12,1,0,
,,,93,948,1,0,0,55,0,1,8,0,0,1,0,3025,5.6207852,0,0,0.42399999,0,,,,0,,0,,,64,"Brademas, John",IN,3,1,0,
Pastore,John,RI,93,7229,1,0,0,68,0,1,12,1,0.142,0,0,4624,2.7395368,0,0,0.13399999,0,0,0,,1,0,0,0,,144,,,,0,1,
,,,93,9230,1,0,0,60,0,1,7,1,0.19,0,0,3600,3.5225759,1,0,0.018999999,0,,,,0,,0,,,49,"Taylor, Roy",NC,11,1,0,
,,,93,3268,0,0,0,61,0,0,13,0,0,0,1,3721,0.082694538,0,0,0.35999998,0,,,,0,,0,,,169,"Ford, Gerald",MI,5,1,0,
,,,93,13003,1,0,0,64,0,0,2,0,0,0,0,4096,0.47239256,0,0,0.33500001,0,,,,0,,0,,,4,"Aspin, Les",WI,1,1,0,
Mansfield,Mike,MT,93,5967,1,0,0,61,0,1,11,0,0,1,0,3721,0.76381302,0,0,0.40799999,0,0,0,,1,0,0,0,,121,,,,0,1,
Chiles,Lawton,FL,93,13101,1,0,0,54,0,0,2,1,0.22400001,0,0,2916,1.1230046,1,0,0.082000002,0,0,0,,1,0,0,0,,4,,,,0,1,
Percy,Charles,IL,93,11205,0,0,0,62,0,0,4,0,0,0,0,3844,1.3880991,0,0,0.185,0,0,0,,1,0,0,0,,16,,,,0,1,
,,,93,3078,1,0,0,57,0,1,10,1,0.22400001,0,0,3249,0.73191297,1,0,0.32600001,0,,,,0,,0,,,100,"Fascell, Dante",FL,15,1,0,
,,,93,6685,1,0,0,61,1,0,15,0,0,0,0,3721,6.0679202,0,0,0.30200002,0,,,,0,,0,,,225,"Morgan, Thomas",PA,22,1,0,
,,,93,5101,1,0,0,69,0,1,8,0,0,0,0,4761,2.2927756,0,0,0.47400004,0,,,,0,,0,,,64,"Kastenmeier, Robert",WI,2,1,0,
,,,93,11013,1,0,0,64,0,0,4,1,0.191,0,0,4096,1.0232192,1,0,0.50200003,0,,,,0,,0,,,16,"Eckhardt, Bob",TX,8,1,0,
,,,93,14015,0,0,0,48,0,0,1,1,0.40700001,0,0,2304,0.1984669,0,0,0.01,0,,,,0,,1,,,1,"Gilman, Benjamin",NY,26,1,0,
,,,93,1620,0,0,0,51,0,0,9,0,0,0,0,2601,0.087862954,0,0,0.31799999,0,,,,1,,0,,,81,"Chamberlain, Charles",MI,6,1,0,
,,,93,12035,1,0,0,64,0,0,3,1,0.345,0,0,4096,0.42545083,0,0,0.14899999,0,,,,0,,0,,,9,"Yatron, Gus",PA,6,1,0,
,,,93,10595,1,1,0,83,0,1,6,1,0.52600002,0,0,6889,1.7284482,0,0,0.55599999,0,,,,0,,0,,,36,"Hawkins, Augustus",CA,21,1,0,
,,,93,10391,1,0,0,100,0,1,10,1,0.191,0,0,10000,0.80300266,1,0,0.30500001,0,,,,0,,0,,,100,"Wright, James",TX,12,1,0,
,,,93,12009,1,1,0,64,0,0,3,0,0,0,0,4096,0.48990229,0,0,0.53799999,0,,,,0,,0,,,9,"Clay, William",MO,1,1,0,
,,,93,10717,0,0,0,55,0,0,5,0,0,0,0,3025,0.91642499,0,0,0.43199998,0,,,,0,,0,,,25,"Dickinson, William",AL,2,1,0,
Burdick,Quentin,ND,93,1252,1,0,0,61,0,1,7,0,0,0,0,3721,1.7050841,0,0,0.219,0,0,0,,0,0,0,0,,49,,,,0,1,
,,,93,9551,1,0,0,100,1,0,9,0,0,0,0,10000,10.207897,0,0,0.273,0,,,,1,,0,,,81,"Ullman, Al",OR,2,1,0,
,,,93,10510,0,0,0,63,0,0,7,0,0,0,0,3969,0.16022067,0,0,0.44099998,0,,,,1,,0,,,49,"Clancy, Donald",OH,2,1,0,
,,,93,9322,1,0,0,58,0,1,10,1,0.175,0,0,3364,1.3732452,0,0,0.472,0,,,,0,,0,,,100,"Thompson, Frank",NJ,4,1,0,
,,,93,10581,0,0,0,68,0,0,6,1,0.061999999,0,0,4624,0.23421971,0,0,0.24800001,0,,,,0,,0,,,36,"Cleveland, James",NH,2,1,0,
,,,93,12004,1,0,0,64,0,0,3,0,0,0,0,4096,0.61351806,0,0,0.32600001,0,,,,1,,0,,,9,"Burlison, Bill",MO,10,1,0,
,,,93,10598,0,0,0,56,0,0,6,1,0.345,0,0,3136,0.28116143,0,0,0.23900001,0,,,,0,,0,,,36,"Johnson, Albert",PA,23,1,0,
,,,93,10625,0,0,0,72,0,0,6,0,0,0,0,5184,1.0263203,0,0,0.21600001,0,,,,0,,0,,,36,"Skubitz, Joe",KS,5,1,0,
